"Overall Life Expectancy","Female Life Expectancy","Male Life Expectancy",Type_of_meat
78.06,80.54,75.83,"Red Meat"
63.24,65.77,60.72,"White Meat"
77.98,81.26,74.62,"Red Meat"
77.98,81.26,74.62,"White Meat"
73.62,76.39,70.67,"Red Meat"
80.69,81.92,79.68,"White Meat"
73.98,76.31,71.78,"White Meat"
77.86,79.74,75.83,"White Meat"
68.78,71.46,66.2,"Red Meat"
68.78,71.46,66.2,"White Meat"
71.46,73.75,69.09,"White Meat"
81.16,83.41,78.84,"Red Meat"
81.16,83.41,78.84,"White Meat"
77.51,80.4,74.61,"Red Meat"
78.33,80.73,75.97,"Red Meat"
79.82,82.58,77.02,"Red Meat"
60.63,62.78,58.54,"White Meat"
78.08,80.65,75.51,"White Meat"
66.65,69.75,63.73,"White Meat"
68.45,70.41,66.58,"White Meat"
66.17,68.76,63.87,"White Meat"
82.18,84.44,79.9,"Red Meat"
75.49,78.45,72.74,"White Meat"
70.15,73.09,67.26,"White Meat"
73.47,76.02,71.03,"Red Meat"
82.88,84.54,81.21,"Red Meat"
84.2,86.13,82.15,"Red Meat"
72.37,74.6,70.14,"White Meat"
75.02,77.46,72.91,"Red Meat"
80.45,82.91,79.09,"White Meat"
73.25,76.54,70.23,"Red Meat"
76.85,81.16,72.35,"Red Meat"
67.46,70.69,64.38,"White Meat"
83.55,85.17,81.91,"Red Meat"
78.97,80.77,77.45,"Red Meat"
67.34,69.74,65.08,"Red Meat"
76.96,79.26,74.69,"White Meat"
72.3,74.32,70.3,"White Meat"
81.73,83.25,80.81,"White Meat"
63.26,64.86,61.69,"White Meat"
69.31,71.75,66.71,"White Meat"
84.27,86.42,82.13,"White Meat"
84.05,86.68,81.35,"White Meat"
72.79,76.25,69.42,"White Meat"
83.65,85.22,82.08,"Red Meat"
81.47,84.68,78.36,"Red Meat"
71.43,73.69,69.3,"Red Meat"
80.46,82.57,79.02,"Red Meat"
76,81.69,70.72,"White Meat"
78.16,81.82,74.34,"Red Meat"
71.78,74.43,69.12,"Red Meat"
74.74,79.42,70.12,"Red Meat"
