Dish_ID,Main Content
1,Rice
1,Carrots
1,Raisins
2,Rice
2,Lamb
3,Flour
4,Coconut
5,Pig'S Ear
5,Chicken
5,Lamb
5,Pork
5,Potatoes
6,Chicken
6,Okra
6,Tomato
6,Peppers
6,Palm Oil
7,Beef
7,Pork
7,Chicken
8,Wheat
8,Meat
9,Meat
9,Flour
10,Veal
11,Rice
11,Lamb
12,Crayfish
12,Peas
12,Rice
13,Chicken
13,Rice
14,Fish
14,Rice
15,Fish
15,Cornmeal
15,Okra
16,Potatoes
17,Mussels
17,Potatoes
18,Rice
18,Beans
19,Peanuts
20,Peppers
20,Cheese
21,Beef
21,Pork
21,Chicken
22,Meat
23,Meat
24,Beans
24,Pork
25,Sago Palm
26,Tomatoes
26,Cucumbers
26,Onion
26,Peppers
26,Cheese
27,Wheat
27,Meat
28,Fish
29,Bitterleaf
29,Peanuts
29,Melon Seeds
30,French Fries
30,Gravy
30,Cheese
31,Hominy
31,Beans
31,Vegetables
31,Meat
32,Bread
32,Tomatoes
32,Olive Oil
33,Choclo
33,Beef
33,Chicken
33,Raisins
33,Black Olives
33,Onion
34,Duck
35,Beans
35,Rice
35,Arepa
35,Chorizo
35,Plantain
35,Chicharrón
35,Avocado
35,Beef
36,Lobsters
36,Beans
37,Beef
37,Vegetables
38,Rice
38,Beans
39,Dough
40,Beef
41,Potatoes
41,Carrots
41,Celery
41,Onion
41,Tomato Sauce
41,Beans
41,Olive Oil
42,Beef
42,Dumpling
42,Vegetables
43,Chicken
44,Meat
45,Rice
45,Chicken
45,Beef
45,Beans
46,Fish
47,Rice
47,Lentils
47,Macaroni
47,Vermicelli
47,Tomato Sauce
47,Vegetable Oil
47,Onion
47,Cumin
47,Coriander
48,Cornmeal
48,Flour
49,Chicken
50,Corn
50,Beans
51,Meat
52,Sausage
53,Flat Bread
53,Chicken
54,Fish
54,Coconut
55,Rye
55,Rice
56,Flour
57,Chicken
58,Octopus
59,Cheese
59,Eggs
59,Flour
60,Beef
61,Cassava
62,Eggplant
62,Potatoes
62,Meat
63,Breadfruit
63,Meat
63,Chicken
63,Coconut
64,Lemon
64,Coconut
64,Peppers
65,Chicken
66,Meat
66,Cinnamon
66,Peppers
66,Cassareep
67,Pork
67,Rice
67,Beans
68,Beef
68,Plantain
68,Beans
68,Cabbage
68,Fresh Cream
68,Tortillas
69,Dumpling
70,Meat
70,Vegetables
71,Greenland Shark
72,Rice
72,Lentils
73,Rice
74,Rice
75,Carp
76,Lamb
76,Potatoes
76,Carrots
76,Onion
77,Beans
77,Chickpeas
78,Beef
79,Plantain
80,Ackee
80,Fish
81,Curry
81,Rice
82,Lamb
82,Rice
83,Flour
83,Water
83,Meat
83,Onion
84,Maize
85,Vegetables
86,Flour
86,Water
86,Salt
87,Rice
87,Chicken
88,Meat
89,Peas
89,Onion
89,Diced Speck
90,Meat
90,Wheat
91,Cornmeal
92,Couscous
92,Chickpeas
92,Potatoes
92,Tomatoes
92,Lamb
93,Flour
93,Eggs
93,Water
93,Salt
93,Peppers
93,Cheese
94,Pork
94,Beef
94,Potatoes
95,Pork
96,Meat
96,Vegetables
97,Maize
98,Rice
99,Rabbit
100,Peas
101,Taco Shells
102,Cornmeal
103,Swiss Chard
103,Cheese
104,Pork
105,Potatoes
105,Carrots
105,Onion
105,Garlic
106,Fish
106,Rice Noodles
107,Rice
107,Vegetables
107,Lentils
108,Potatoes
109,Eggs
109,Castor Sugar
110,Couscous
110,Moringa
111,Rice
112,Beans
113,Sausage
113,Pork
113,Eggs
113,Tomatoes
114,Lamb
114,Cabbage
114,Black Pepper
114,Flour
115,Lamb
115,Meat
116,Lamb
116,Beef Shank
116,Garlic
117,Rice
118,Meat
118,Vegetables
118,
119,Chicken
120,Meat
120,Sauerkraut
120,Cabbage
121,Cod
122,Rice
122,Peas
123,Chicken
124,Pork
124,Rice
125,Flour
125,Meat
126,Wafers
126,Chocolate
126,Hazelnut Creme
127,Rice
128,Sheep'S Heart
128,Liver
128,Lungs
129,Fish
129,Rice
129,Tomato Sauce
130,Meat
131,Chicken
131,Rice
132,Bryndza
132,Halušky
133,Flour
134,Rice
134,Meat
135,Meat
136,Rice
136,Saffron
136,Vegetables
136,Chicken
136,Seafood
137,Rice
137,Curry
138,Chicken
138,Citrus Juice
138,Pomtajer (Xanthosoma Sagittifolium)
139,Beef
140,Potatoes
141,Beef
142,Rice Noodles
143,Peanuts
144,Coconut
144,Crab
145,Crab
146,Meat
147,Bananas
148,Beets
148,Beef Shank
148,Onion
148,Carrots
148,Potatoes
148,Cabbage
149,Lamb
151,Buns
152,Fish
152,Cornmeal
153,Beef
136,
154,Bananas
155,Rice
155,Beans
156,Rice Noodles
156,Beef
156,Beef Broth
157,Vegetables
157,Lamb
157,Beef
158,Maraq
158,Fenugreek
158,Sahawiq
159,Maize
160,Maize
